"Power station","# Units","Net Capacity (MWe)","Country","Location","Refs"
"Tianwan Nuclear Power Plant","2","1,980[note 33]","China","34°41′13″N 119°27′35″E﻿ / ﻿34.68694°N 119.45972°E﻿ / 34.68694; 119.45972﻿ (Tianwan Nuclear Power Station)",""
"Tihange Nuclear Power Station","3","3,016","Belgium","50°32′05″N 05°16′21″E﻿ / ﻿50.53472°N 5.27250°E﻿ / 50.53472; 5.27250﻿ (Tihange Nuclear Power Station)",""
"Tokai Nuclear Power Plant","1","1,060[note 34]","Japan","36°27′59″N 140°36′24″E﻿ / ﻿36.46639°N 140.60667°E﻿ / 36.46639; 140.60667﻿ (Tokai Nuclear Power Station)",""
"Tomari Nuclear Power Plant","3","1,966","Japan","43°02′10″N 140°30′45″E﻿ / ﻿43.03611°N 140.51250°E﻿ / 43.03611; 140.51250﻿ (Tomari Nuclear Power Station)",""
"Torness Nuclear Power Station","2","1,205","United Kingdom","55°58′05″N 02°24′33″W﻿ / ﻿55.96806°N 2.40917°W﻿ / 55.96806; -2.40917﻿ (Torness Nuclear Power Station)",""
"Tricastin Nuclear Power Center","4","3,660","France","44°19′47″N 04°43′56″E﻿ / ﻿44.32972°N 4.73222°E﻿ / 44.32972; 4.73222﻿ (Tricastin Nuclear Power Station)",""
"Trillo Nuclear Power Plant","1","1,003","Spain","40°42′04″N 02°37′19″W﻿ / ﻿40.70111°N 2.62194°W﻿ / 40.70111; -2.62194﻿ (Trillo Nuclear Power Station)",""
"Tsuruga Nuclear Power Plant","1","1,108[note 35]","Japan","35°40′22″N 136°04′38″E﻿ / ﻿35.67278°N 136.07722°E﻿ / 35.67278; 136.07722﻿ (Tsuruga Nuclear Power Station)",""
"Turkey Point Nuclear Generating Station","2","1,386","United States","25°26′03″N 80°19′50″W﻿ / ﻿25.43417°N 80.33056°W﻿ / 25.43417; -80.33056﻿ (Turkey Point Nuclear Generating Station)",""
"Vandellòs Nuclear Power Station","1","1,045[note 36]","Spain","40°57′05″N 00°52′00″E﻿ / ﻿40.95139°N 0.86667°E﻿ / 40.95139; 0.86667﻿ (Vandellos Nuclear Power Station)",""
"Vogtle Electric Generating Plant","2","2,302[note 37]","United States","33°08′35″N 81°45′57″W﻿ / ﻿33.14306°N 81.76583°W﻿ / 33.14306; -81.76583﻿ (Vogtle Nuclear Power Station)",""
"Waterford Nuclear Generating Station","1","1,168","United States","29°59′43″N 90°28′16″W﻿ / ﻿29.99528°N 90.47111°W﻿ / 29.99528; -90.47111﻿ (Waterford Nuclear Power Station)",""
"Watts Bar Nuclear Generating Station","1","1,123[note 38]","United States","35°36′10″N 84°47′22″W﻿ / ﻿35.60278°N 84.78944°W﻿ / 35.60278; -84.78944﻿ (Watts Bar Nuclear Generating Station)",""
"Wolf Creek Generating Station","1","1,160","United States","38°14′20″N 95°41′20″W﻿ / ﻿38.23889°N 95.68889°W﻿ / 38.23889; -95.68889﻿ (Wolf Creek Power Station)",""
"Wolseong Nuclear Power Plant","4","2,722","South Korea","35°42′40″N 129°28′30″E﻿ / ﻿35.71111°N 129.47500°E﻿ / 35.71111; 129.47500﻿ (Wolseong Nuclear Power Station)",""
"Yangjiang Nuclear Power Plant","3","3,000[note 39]","China","21°42′35″N 112°15′38″E﻿ / ﻿21.70972°N 112.26056°E﻿ / 21.70972; 112.26056﻿ (Yangjiang Nuclear Power Plant)",""
"Zaporizhzhia Nuclear Power Plant","6","5,700","Ukraine","47°30′44″N 34°35′09″E﻿ / ﻿47.51222°N 34.58583°E﻿ / 47.51222; 34.58583﻿ (Zaporizhzhia Nuclear Power Plant)",""
