"Power station","# Units","Net Capacity (MWe)","Country","Location","Refs"
"Columbia Generating Station","1","1,131","United States","46°28′16″N 119°20′02″W﻿ / ﻿46.47111°N 119.33389°W﻿ / 46.47111; -119.33389﻿ (Columbia Nuclear Power Station)",""
"Comanche Peak Nuclear Generating Station","2","2,367","United States","32°17′54″N 97°47′06″W﻿ / ﻿32.29833°N 97.78500°W﻿ / 32.29833; -97.78500﻿ (Comanche Peak Nuclear Power Station)",""
"Cruas Nuclear Power Plant","4","3,660","France","44°37′59″N 04°45′24″E﻿ / ﻿44.63306°N 4.75667°E﻿ / 44.63306; 4.75667﻿ (Cruas Nuclear Power Station)",""
"Dampierre Nuclear Power Plant","4","3,560","France","47°43′59″N 02°31′00″E﻿ / ﻿47.73306°N 2.51667°E﻿ / 47.73306; 2.51667﻿ (Dampierre Nuclear Power Plant)",""
"Darlington Nuclear Generating Station","4","3,512","Canada","43°52′22″N 78°43′11″W﻿ / ﻿43.87278°N 78.71972°W﻿ / 43.87278; -78.71972﻿ (Darlington Nuclear Power Station)",""
"Daya Bay Nuclear Power Plant","2","1,888","China","22°35′52″N 114°32′37″E﻿ / ﻿22.59778°N 114.54361°E﻿ / 22.59778; 114.54361﻿ (Daya Bay Nuclear Power Plant)",""
"Diablo Canyon Power Plant","2","2,240","United States","35°12′39″N 120°51′22″W﻿ / ﻿35.21083°N 120.85611°W﻿ / 35.21083; -120.85611﻿ (Diablo Canyon Power Station)",""
"Doel Nuclear Power Station","4","2,911","Belgium","51°19′29″N 04°15′31″E﻿ / ﻿51.32472°N 4.25861°E﻿ / 51.32472; 4.25861﻿ (Doel Nuclear Power Station)",""
"Donald C. Cook Nuclear Generating Station","2","2,069","United States","41°58′31″N 86°33′57″W﻿ / ﻿41.97528°N 86.56583°W﻿ / 41.97528; -86.56583﻿ (Donald Cook Nuclear Power Station)",""
"Dresden Nuclear Power Plant","2","1,734[note 5]","United States","41°23′23″N 88°16′5″W﻿ / ﻿41.38972°N 88.26806°W﻿ / 41.38972; -88.26806﻿ (Dresden Nuclear Power Plant)",""
"Dukovany Nuclear Power Station","4","2,040","Czech Republic","49°05′06″N 16°08′56″E﻿ / ﻿49.08500°N 16.14889°E﻿ / 49.08500; 16.14889﻿ (Dukovany Nuclear Power Station)",""
"Dungeness Nuclear Power Station","2","1,040[note 6]","United Kingdom","50°54′50″N 00°57′50″E﻿ / ﻿50.91389°N 0.96389°E﻿ / 50.91389; 0.96389﻿ (Dungeness Nuclear Power Station)",""
"Edwin Hatch Nuclear Power Station","2","1,759","United States","31°56′03″N 82°20′38″W﻿ / ﻿31.93417°N 82.34389°W﻿ / 31.93417; -82.34389﻿ (Edwin Hatch Nuclear Power Station)",""
"Enrico Fermi Nuclear Generating Station","1","1,122[note 7]","United States","41°57′46″N 83°15′27″W﻿ / ﻿41.96278°N 83.25750°W﻿ / 41.96278; -83.25750﻿ (Enrico Fermi Nuclear Power Station)",""
"Emsland Nuclear Power Plant","1","1,329","Germany","52°28′27″N 07°19′04″E﻿ / ﻿52.47417°N 7.31778°E﻿ / 52.47417; 7.31778﻿ (Emsland Nuclear Power Station)",""
"Fangchenggang Nuclear Power Plant","1","1,000[note 8]","China","21°40′36″N 108°33′38″E﻿ / ﻿21.67667°N 108.56056°E﻿ / 21.67667; 108.56056﻿ (Fangchenggang Nuclear Power Plant)",""
"Fangjiashan Nuclear Power Plant","2","2,000","China","30°26′29″N 120°56′30″E﻿ / ﻿30.44139°N 120.94167°E﻿ / 30.44139; 120.94167﻿ (Fangjiashan Nuclear Power Plant)",""
